tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,failed_constraints
2025-09-01 00:06:03,2025-09-01 00:06:17,1,0.0,-3.0,0.0,4,1
2025-09-01 00:06:03,2025-09-01 00:06:17,1,0.0,3.0,0.0,4,1
2025-09-01 00:41:42,2025-09-01 00:41:46,1,0.0,34.0,7.65,1,1
2025-09-01 00:40:24,2025-09-01 00:40:40,1,0.07,-3.0,0.0,2,1
2025-09-01 00:50:50,2025-09-01 01:02:17,1,0.0,10.7,3.29,1,1
2025-09-01 00:09:56,2025-09-01 00:09:56,2,1.44,9.3,0.0,1,1
2025-09-01 00:26:22,2025-09-01 00:26:22,2,1.05,7.9,2.73,1,1
2025-09-01 00:54:14,2025-09-01 00:54:14,1,4.59,26.1,2.0,1,1
2025-09-01 00:37:14,2025-09-01 00:46:04,2,2.91,-13.5,0.0,4,1
2025-09-01 00:43:47,2025-09-01 00:48:20,1,0.0,5.8,2.0,1,1
2025-09-01 00:50:28,2025-09-01 01:17:13,0,0.0,21.2,5.35,1,1
2025-09-01 00:26:52,2025-09-01 00:27:04,1,0.0,3.0,0.0,4,1
2025-09-01 00:20:02,2025-09-01 00:20:02,1,4.34,20.5,7.88,1,1
2025-09-01 00:46:16,2025-09-01 00:46:16,1,1.24,9.3,3.01,1,1
2025-09-01 00:22:47,2025-09-01 00:22:55,1,0.0,85.0,10.0,1,1
2025-09-01 00:26:26,2025-09-01 00:26:26,2,6.89,31.0,0.0,2,1
2025-09-01 00:11:54,2025-09-01 00:12:07,2,0.0,100.0,0.0,1,1
2025-09-01 00:21:06,2025-09-01 00:21:10,1,0.0,79.0,5.0,1,1
2025-09-01 00:07:50,2025-09-01 00:07:50,1,3.67,18.4,4.83,1,1
2025-09-01 00:17:36,2025-09-01 00:24:37,1,0.86,-8.6,0.0,4,1
2025-09-01 00:55:31,2025-09-01 01:06:09,1,3.01,-14.9,0.0,4,1
2025-09-01 00:04:37,2025-09-01 00:04:37,1,1.31,8.6,2.87,1,1
2025-09-01 00:12:14,2025-09-01 00:12:14,1,0.98,7.9,2.73,1,1
2025-09-01 00:33:39,2025-09-01 00:33:39,1,3.25,17.7,4.69,1,1
